ABC,"A CLASS ITEMS, B CLASS ITEMS, C CLASS ITEMS: The classification that a particular part gets based on planned or historic usage."
AED,ACCEPTABLE EARLY DAYS: A number of working days that orders are allowed to arrive early. Reschedule out messages will be suppressed if the delta between order and need is less than the allowed number.
AP,ACCOUNTS PAYABLE: Accounts Payable
AR,ACCOUNTS RECEIVABLE
AMA,ADVANCED MATERIAL AUTHORIZATION: Commercially driven materials that the business has authorized the Supply Chain to purchase from vendors ahead of obtaining Customer orders.  This is usually done to bridge the gap between Customer delivery expectations and material Lead-Times
AMR,ADVANCED MATERIAL REQUEST: Ordering materials before the release of the formal product design. This early release is typically required due to long Lead Times of certain components.
APQP,ADVANCED PRODUCT QUALITY PLANNING: 
ASCP,ADVANCED SUPPLY CHAIN PLANNING: Advanced Supply Chain Planning
AM,AFTERMARKET
APICS ,"AMERICAN PRODUCTION & INVENTORY CONTROL SOCIETY: Founded in 1957 -The Association for Operations Management builds operations management excellence in individuals and enterprises through superior education and training, internationally recognized certifications, comprehensive resources, and a worldwide network of accomplished industry professionals."
ATS,APPLICATION TRACKING SYSTEM: A human resources software that acts as a database for job applicants
ASL,APPROVED SUPPLIER LIST: The Supplier who has met Wabtec's part specifications and is approved for us to purchase production parts from
APAC,ASIA PACIFIC REGION
ACFC,AT THE CUSTOMER FOR THE CUSTOMER
APS,AUXILIARY POWER SUPPLIES
BOM,BILL OF MATERIAL: A list of components required for the production of a part or assembly.
BOK,BOOK OF KNOWLEDGE: A reference to all things materials
B&S,BRAKES & SAFETY
BAL,BUSINESS AWARD LETTER
BI,BUSINESS INTELLIGENCE
BOS,BUSINESS OPERATING SYSTEM
BU,BUSINESS UNIT
CARB BEL,CALIFORNIA AIR RESOURCES BOARD BATTERY ELECTRIC LOCOMOTIVE
COE,CENTER OF EXCELLENCE: Different subgroups within the Organization
CN,CHANGE NOTICE: Change Notice
CO,CHANGE ORDER
CIA,CONSTRAINT IDENTIFICATION ANALYSIS: Used to describe model development through assessment of suppliers manufacturing process to meet current and future product demands
CC,COMMODITY CODE: The category a part falls in based on part attributes
CI,CONTINUOUS IMPROVEMENT
CM,CONTRACT MARGIN
CAR ,CORRECTIVE ACTION REQUEST
C/P,COST / PRODUCTIVITY
COGS,COST OF GOODS SOLD: Direct costs attributable to the production of the goods sold
COPQ,COST OF POOR QUALITY
CDR,CRITICAL DESIGN REVIEW
CPR,CRITICAL PART REVIEW: Escalation process to communicate which Parts are not meeting Wabtec's Need by Date and why
CTQ,CRITICAL TO QUALITY: Critical to Quality
Cum MFG LT,CUMULATIVE MANUFACTURING LEAD TIME: 
Cum Total LT,CUMULATIVE TOTAL LEAD TIME: Same as Lead Time
C-OTD,CUSTOMER ON TIME DELIVERY
COE Flag,CUSTOMER ORDER ENABLED FLAG
CSM,CUSTOMER SUPPLIED MATERIAL: Component(s) provided by the end Customer for production
DAFW,DAYS AWAY FROM WORK
DIO,DAYS INVENTORY OUTSTANDING
DPO,DAYS PAYABLES OUTSTANDING
DSI,DAYS SALES OF INVENTORY
DSO,DAYS SALES OUTSTANDING
DPMO,DEFECTS PER MILLION OPPORTUNITY
DPU,DEFECTS PER UNIT
DCP,DESIGN CHANGE PROCESS
DE,DESIGN ENGINEER
DfM,DESIGN FOR MANUFACTURE
DLE,DIRECT LABOUR EFFICIENCY
DTS,DOCK TO STOCK: Estimation of how long it takes material to go from the dock to the shelf
EBIT,EARNING BEFORE INTEREST AND TAXES: 
EMU,ELECTRO/MECHANICAL UNIT
EDI,ELECTRONIC DATA EXCHANGE
EFT,ELECTRONIC FUNDS TRANSFER: Electronic Fund Transfer
ERS,ELECTRONIC RECEIPT SYSTEM: Electronic Receipt System
EOQ,END OF QUARTER
eBOM,ENGINEERING BILL OF MATERIALS: 
ERP,ENTERPRISE RESOURCE MANAGEMENT
EHS,ENVIRONMENTAL HEATH & SAFETY: Environment Health & Safety
EQT,ENVIRONMENTAL QUALITY TEST
EAU,ESTIMATED ANNUAL USAGE: Total usage by year
EMEA,"EUROPE, MIDDLE EAST, AFRICA REGIONS"
EPE,EVERY PART EVERYDAY
FMEA,FAILURE MODES & EFFECTS ANALYSIS
FG,FINISHED GOODS
FGI,FINISHED GOODS INVENTORY: Finished Goods Inventory
FAI,FIRST ARTICLE INSPECTION: First Article Inspection
